Execution Time: 8454.1ms
				Karim Cherif, depth=2, num children=0
				Jevgenij Sitochin, depth=2, num children=0
				Hubert Mulzer, depth=2, num children=0
				Megan Gay, depth=2, num children=0
				Mark Zak, depth=2, num children=0
				Peter Benedict, depth=2, num children=0
				René Ifrah, depth=2, num children=0
				Robert Seeliger, depth=2, num children=0
				James Urbaniak, depth=2, num children=0
				Thomas Jay Ryan, depth=2, num children=0
				John Keogh, depth=2, num children=0
		Mini's First Time, depth=1, num children=8
				Luke Wilson, depth=2, num children=0
				Alec Baldwin, depth=2, num children=0
				Carrie-Anne Moss, depth=2, num children=0
				Nikki Reed, depth=2, num children=0
				Sprague Grayden, depth=2, num children=0
				Rick Fox, depth=2, num children=0
				Svetlana Metkina, depth=2, num children=0
				Michael Laskin, depth=2, num children=0
		Man of the Year, depth=1, num children=17
				Tina Fey, depth=2, num children=0
				Robin Williams, depth=2, num children=0
				Lewis Black, depth=2, num children=0
				Christopher Walken, depth=2, num children=0
				Sasha Roiz, depth=2, num children=0
				Laura Linney, depth=2, num children=0
				Amy Poehler, depth=2, num children=0
				Dmitry Chepovetsky, depth=2, num children=0
				Shawn Roberts, depth=2, num children=0
				Chris Matthews, depth=2, num children=0
				James Carville, depth=2, num children=0
				Linda Kash, depth=2, num children=0
				David Alpay, depth=2, num children=0
				Kim Roberts, depth=2, num children=0
				David Ferry, depth=2, num children=0
				Rick Roberts, depth=2, num children=0
				Rick Cordeiro, depth=2, num children=0
		Pittsburgh, depth=1, num children=3
				Moby, depth=2, num children=0
				Illeana Douglas, depth=2, num children=0
				Ed Begley, Jr., depth=2, num children=0
		Adam Resurrected, depth=1, num children=16
				Moritz Bleibtreu, depth=2, num children=0
				Veronica Ferres, depth=2, num children=0
				Juliane Köhler, depth=2, num children=0
				Joachim Król, depth=2, num children=0
				Hanna Maron, depth=2, num children=0
				Willem Dafoe, depth=2, num children=0
				Derek Jacobi, depth=2, num children=0
				Ayelet Zurer, depth=2, num children=0
				Hana Laszlo, depth=2, num children=0
				Yoram Kaniuk, depth=2, num children=0
				Evgenia Dodina, depth=2, num children=0
				Idan Alterman, depth=2, num children=0
				Yoram Toledano, depth=2, num children=0
				Miki Leon, depth=2, num children=0
				Dror Keren, depth=2, num children=0
				Gabriel Spahiu, depth=2, num children=0
		Morning Glory, depth=1, num children=15
				50 Cent, depth=2, num children=0
				Q81328, depth=2, num children=0
				Diane Keaton, depth=2, num children=0
				Rachel McAdams, depth=2, num children=0
				Ty Burrell, depth=2, num children=0
				Lloyd Banks, depth=2, num children=0
				Arden Myrin, depth=2, num children=0
				Patrick Wilson, depth=2, num children=0
				Patti D'Arbanville, depth=2, num children=0
